method,R,T,repeat,seconds
sequential_full,6,288,1,1.82999938e-05
sequential_full,6,288,2,1.87999976e-05
sequential_full,6,288,3,1.03999919e-05
sequential_full,6,288,4,1.49999978e-05
sequential_full,6,288,5,1.67000107e-05
sequential_full,6,288,6,1.66000100e-05
sequential_full,6,288,7,1.53000001e-05
sequential_full,6,288,8,8.80000880e-06
sequential_full,6,288,9,8.39997665e-06
sequential_full,6,288,10,8.50000652e-06
sequential_full,6,288,11,8.20000423e-06
sequential_full,6,288,12,8.30000499e-06
sequential_full,6,288,13,8.20000423e-06
sequential_full,6,288,14,8.20000423e-06
sequential_full,6,288,15,8.09997437e-06
sequential_full,6,288,16,8.30000499e-06
sequential_full,6,288,17,8.20000423e-06
sequential_full,6,288,18,8.30000499e-06
sequential_full,6,288,19,8.30000499e-06
sequential_full,6,288,20,8.19997513e-06
dac_full,6,288,1,3.92299989e-04
dac_full,6,288,2,3.73300019e-04
dac_full,6,288,3,3.73199990e-04
dac_full,6,288,4,3.73099989e-04
dac_full,6,288,5,3.72500013e-04
dac_full,6,288,6,3.78700002e-04
dac_full,6,288,7,3.73899995e-04
dac_full,6,288,8,3.73699993e-04
dac_full,6,288,9,3.72399983e-04
dac_full,6,288,10,3.72700015e-04
dac_full,6,288,11,3.73699993e-04
dac_full,6,288,12,3.77999997e-04
dac_full,6,288,13,3.76200012e-04
dac_full,6,288,14,3.73999996e-04
dac_full,6,288,15,3.74399999e-04
dac_full,6,288,16,4.55499976e-04
dac_full,6,288,17,4.77400026e-04
dac_full,6,288,18,3.74400028e-04
dac_full,6,288,19,3.73700022e-04
dac_full,6,288,20,3.73899995e-04
sequential_T,6,48,1,1.46999955e-05
sequential_T,6,48,2,1.65999809e-05
sequential_T,6,48,3,1.67000107e-05
sequential_T,6,48,4,1.57000031e-05
sequential_T,6,48,5,1.51999993e-05
sequential_T,6,48,6,1.55000016e-05
sequential_T,6,48,7,1.55000016e-05
sequential_T,6,48,8,1.35000155e-05
sequential_T,6,48,9,1.17000018e-05
sequential_T,6,48,10,1.18000025e-05
dac_T,6,48,1,9.99000040e-05
dac_T,6,48,2,9.94000002e-05
dac_T,6,48,3,9.99999756e-05
dac_T,6,48,4,1.02699996e-04
dac_T,6,48,5,1.03800005e-04
dac_T,6,48,6,1.06799998e-04
